task_id,task,path,group,n_rows,n_used,R,I,drr,seed,drr_version,drr_commit,drr_dirty,status
binary_config__FM-500-100-0.75-SAT-1,FM-500-100-0.75-SAT-1,data/moot/optimize/binary_config/FM-500-100-0.75-SAT-1.csv,binary_config,10000,5000,511,7.0,0.9863013698630136,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
binary_config__FM-500-100-1.00-SAT-1,FM-500-100-1.00-SAT-1,data/moot/optimize/binary_config/FM-500-100-1.00-SAT-1.csv,binary_config,10000,5000,511,9.0,0.9823874755381605,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
binary_config__Scrum100k,Scrum100k,data/moot/optimize/binary_config/Scrum100k.csv,binary_config,100000,5000,124,6.0,0.9516129032258065,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
binary_config__Scrum10k,Scrum10k,data/moot/optimize/binary_config/Scrum10k.csv,binary_config,10000,5000,124,2.0,0.9838709677419355,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
binary_config__Scrum1k,Scrum1k,data/moot/optimize/binary_config/Scrum1k.csv,binary_config,1000,1000,124,5.0,0.9596774193548387,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
binary_config__billing10k,billing10k,data/moot/optimize/binary_config/billing10k.csv,binary_config,10000,5000,88,7.0,0.9204545454545454,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
config__Apache_AllMeasurements,Apache_AllMeasurements,data/moot/optimize/config/Apache_AllMeasurements.csv,config,192,192,9,4.0,0.5555555555555556,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
config__HSMGP_num,HSMGP_num,data/moot/optimize/config/HSMGP_num.csv,config,3456,3456,14,3.0,0.7857142857142857,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
config__SQL_AllMeasurements,SQL_AllMeasurements,data/moot/optimize/config/SQL_AllMeasurements.csv,config,4653,4653,38,3.0,0.9210526315789473,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
config__SS-A,SS-A,data/moot/optimize/config/SS-A.csv,config,1343,1343,3,1.0,0.6666666666666667,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
config__SS-B,SS-B,data/moot/optimize/config/SS-B.csv,config,206,206,3,2.0,0.33333333333333337,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
config__SS-C,SS-C,data/moot/optimize/config/SS-C.csv,config,1512,1512,3,1.0,0.6666666666666667,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
config__SS-D,SS-D,data/moot/optimize/config/SS-D.csv,config,196,196,3,1.0,0.6666666666666667,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
config__SS-E,SS-E,data/moot/optimize/config/SS-E.csv,config,756,756,3,1.0,0.6666666666666667,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
config__SS-F,SS-F,data/moot/optimize/config/SS-F.csv,config,196,196,3,1.0,0.6666666666666667,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
config__SS-G,SS-G,data/moot/optimize/config/SS-G.csv,config,196,196,3,1.0,0.6666666666666667,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
config__SS-H,SS-H,data/moot/optimize/config/SS-H.csv,config,259,259,4,2.0,0.5,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
config__SS-I,SS-I,data/moot/optimize/config/SS-I.csv,config,1080,1080,5,2.0,0.6,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
config__SS-J,SS-J,data/moot/optimize/config/SS-J.csv,config,3840,3840,6,2.0,0.6666666666666667,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
config__SS-K,SS-K,data/moot/optimize/config/SS-K.csv,config,2880,2880,6,2.0,0.6666666666666667,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
config__SS-L,SS-L,data/moot/optimize/config/SS-L.csv,config,1023,1023,11,9.0,0.18181818181818177,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
config__SS-M,SS-M,data/moot/optimize/config/SS-M.csv,config,864,864,17,4.0,0.7647058823529411,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
config__SS-N,SS-N,data/moot/optimize/config/SS-N.csv,config,53662,5000,17,3.0,0.8235294117647058,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
config__SS-O,SS-O,data/moot/optimize/config/SS-O.csv,config,972,972,11,4.0,0.6363636363636364,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
config__SS-P,SS-P,data/moot/optimize/config/SS-P.csv,config,1023,1023,11,9.0,0.18181818181818177,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
config__SS-Q,SS-Q,data/moot/optimize/config/SS-Q.csv,config,2736,2736,13,3.0,0.7692307692307692,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
config__SS-R,SS-R,data/moot/optimize/config/SS-R.csv,config,3008,3008,14,2.0,0.8571428571428572,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
config__SS-S,SS-S,data/moot/optimize/config/SS-S.csv,config,3840,3840,6,2.0,0.6666666666666667,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
config__SS-T,SS-T,data/moot/optimize/config/SS-T.csv,config,5184,5000,12,3.0,0.75,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
config__SS-U,SS-U,data/moot/optimize/config/SS-U.csv,config,4608,4608,21,5.0,0.7619047619047619,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
config__SS-V,SS-V,data/moot/optimize/config/SS-V.csv,config,6840,5000,16,3.0,0.8125,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
config__SS-W,SS-W,data/moot/optimize/config/SS-W.csv,config,65536,5000,16,11.0,0.3125,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
config__SS-X,SS-X,data/moot/optimize/config/SS-X.csv,config,86058,5000,11,2.0,0.8181818181818181,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
config__X264_AllMeasurements,X264_AllMeasurements,data/moot/optimize/config/X264_AllMeasurements.csv,config,1152,1152,16,6.0,0.625,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
config__rs-6d-c3_obj1,rs-6d-c3_obj1,data/moot/optimize/config/rs-6d-c3_obj1.csv,config,3840,3840,6,2.0,0.6666666666666667,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
config__rs-6d-c3_obj2,rs-6d-c3_obj2,data/moot/optimize/config/rs-6d-c3_obj2.csv,config,3840,3840,6,2.0,0.6666666666666667,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
config__sol-6d-c2-obj1,sol-6d-c2-obj1,data/moot/optimize/config/sol-6d-c2-obj1.csv,config,2866,2866,6,2.0,0.6666666666666667,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
config__wc+rs-3d-c4-obj1,wc+rs-3d-c4-obj1,data/moot/optimize/config/wc+rs-3d-c4-obj1.csv,config,196,196,3,1.0,0.6666666666666667,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
config__wc+sol-3d-c4-obj1,wc+sol-3d-c4-obj1,data/moot/optimize/config/wc+sol-3d-c4-obj1.csv,config,196,196,3,1.0,0.6666666666666667,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
config__wc+wc-3d-c4-obj1,wc+wc-3d-c4-obj1,data/moot/optimize/config/wc+wc-3d-c4-obj1.csv,config,196,196,3,1.0,0.6666666666666667,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
config__wc-6d-c1-obj1,wc-6d-c1-obj1,data/moot/optimize/config/wc-6d-c1-obj1.csv,config,2880,2880,6,2.0,0.6666666666666667,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
financial_data__BankChurners,BankChurners,data/moot/optimize/financial_data/BankChurners.csv,financial_data,10127,5000,19,3.0,0.8421052631578947,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
financial_data__Loan,Loan,data/moot/optimize/financial_data/Loan.csv,financial_data,20000,5000,31,6.0,0.8064516129032258,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
financial_data__WA_Fn-UseC_-Telco-Customer-Churn,WA_Fn-UseC_-Telco-Customer-Churn,data/moot/optimize/financial_data/WA_Fn-UseC_-Telco-Customer-Churn.csv,financial_data,7043,5000,19,3.0,0.8421052631578947,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
financial_data__home_data_for_ml_course,home_data_for_ml_course,data/moot/optimize/financial_data/home_data_for_ml_course.csv,financial_data,1460,1460,77,4.0,0.948051948051948,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
health_data__Data_COVID19_Indonesia,Data_COVID19_Indonesia,data/moot/optimize/health_data/Data_COVID19_Indonesia.csv,health_data,,,,,,42,0.1.dev36+gdefce441c.d20260809,defce44,True,error: ValueError: no complete rows left after dropping missing values
health_data__Life_Expectancy_Data,Life_Expectancy_Data,data/moot/optimize/health_data/Life_Expectancy_Data.csv,health_data,2938,2938,20,2.0,0.9,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
health_data__Medical_Data_and_Hospital_Readmissions,Medical_Data_and_Hospital_Readmissions,data/moot/optimize/health_data/Medical_Data_and_Hospital_Readmissions.csv,health_data,25000,5000,64,4.0,0.9375,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
hpo__Health-ClosedIssues0000,Health-ClosedIssues0000,data/moot/optimize/hpo/Health-ClosedIssues0000.csv,hpo,10000,5000,5,3.0,0.4,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
hpo__Health-ClosedIssues0001,Health-ClosedIssues0001,data/moot/optimize/hpo/Health-ClosedIssues0001.csv,hpo,10000,5000,5,3.0,0.4,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
hpo__Health-ClosedIssues0002,Health-ClosedIssues0002,data/moot/optimize/hpo/Health-ClosedIssues0002.csv,hpo,10000,5000,5,3.0,0.4,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
hpo__Health-ClosedIssues0003,Health-ClosedIssues0003,data/moot/optimize/hpo/Health-ClosedIssues0003.csv,hpo,10000,5000,5,3.0,0.4,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
hpo__Health-ClosedIssues0004,Health-ClosedIssues0004,data/moot/optimize/hpo/Health-ClosedIssues0004.csv,hpo,10000,5000,5,3.0,0.4,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
hpo__Health-ClosedIssues0005,Health-ClosedIssues0005,data/moot/optimize/hpo/Health-ClosedIssues0005.csv,hpo,10000,5000,5,3.0,0.4,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
hpo__Health-ClosedIssues0006,Health-ClosedIssues0006,data/moot/optimize/hpo/Health-ClosedIssues0006.csv,hpo,10000,5000,5,3.0,0.4,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
hpo__Health-ClosedIssues0007,Health-ClosedIssues0007,data/moot/optimize/hpo/Health-ClosedIssues0007.csv,hpo,10000,5000,5,3.0,0.4,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
hpo__Health-ClosedIssues0008,Health-ClosedIssues0008,data/moot/optimize/hpo/Health-ClosedIssues0008.csv,hpo,10000,5000,5,3.0,0.4,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
hpo__Health-ClosedIssues0009,Health-ClosedIssues0009,data/moot/optimize/hpo/Health-ClosedIssues0009.csv,hpo,10000,5000,5,3.0,0.4,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
hpo__Health-ClosedIssues0010,Health-ClosedIssues0010,data/moot/optimize/hpo/Health-ClosedIssues0010.csv,hpo,10000,5000,5,3.0,0.4,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
hpo__Health-ClosedIssues0011,Health-ClosedIssues0011,data/moot/optimize/hpo/Health-ClosedIssues0011.csv,hpo,10000,5000,5,3.0,0.4,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
hpo__Health-ClosedPRs0000,Health-ClosedPRs0000,data/moot/optimize/hpo/Health-ClosedPRs0000.csv,hpo,10000,5000,5,3.0,0.4,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
hpo__Health-ClosedPRs0002,Health-ClosedPRs0002,data/moot/optimize/hpo/Health-ClosedPRs0002.csv,hpo,10000,5000,5,3.0,0.4,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
hpo__Health-ClosedPRs0003,Health-ClosedPRs0003,data/moot/optimize/hpo/Health-ClosedPRs0003.csv,hpo,10000,5000,5,3.0,0.4,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
hpo__Health-ClosedPRs0004,Health-ClosedPRs0004,data/moot/optimize/hpo/Health-ClosedPRs0004.csv,hpo,10000,5000,5,3.0,0.4,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
hpo__Health-ClosedPRs0005,Health-ClosedPRs0005,data/moot/optimize/hpo/Health-ClosedPRs0005.csv,hpo,10000,5000,5,3.0,0.4,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
hpo__Health-ClosedPRs0006,Health-ClosedPRs0006,data/moot/optimize/hpo/Health-ClosedPRs0006.csv,hpo,10000,5000,5,3.0,0.4,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
hpo__Health-ClosedPRs0007,Health-ClosedPRs0007,data/moot/optimize/hpo/Health-ClosedPRs0007.csv,hpo,10000,5000,5,3.0,0.4,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
hpo__Health-ClosedPRs0008,Health-ClosedPRs0008,data/moot/optimize/hpo/Health-ClosedPRs0008.csv,hpo,10000,5000,5,3.0,0.4,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
hpo__Health-ClosedPRs0009,Health-ClosedPRs0009,data/moot/optimize/hpo/Health-ClosedPRs0009.csv,hpo,10000,5000,5,3.0,0.4,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
hpo__Health-ClosedPRs0010,Health-ClosedPRs0010,data/moot/optimize/hpo/Health-ClosedPRs0010.csv,hpo,10000,5000,5,3.0,0.4,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
hpo__Health-ClosedPRs0011,Health-ClosedPRs0011,data/moot/optimize/hpo/Health-ClosedPRs0011.csv,hpo,10000,5000,5,3.0,0.4,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
hpo__Health-Commits0000,Health-Commits0000,data/moot/optimize/hpo/Health-Commits0000.csv,hpo,10000,5000,5,3.0,0.4,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
hpo__Health-Commits0001,Health-Commits0001,data/moot/optimize/hpo/Health-Commits0001.csv,hpo,10000,5000,5,3.0,0.4,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
hpo__Health-Commits0002,Health-Commits0002,data/moot/optimize/hpo/Health-Commits0002.csv,hpo,10000,5000,5,3.0,0.4,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
hpo__Health-Commits0003,Health-Commits0003,data/moot/optimize/hpo/Health-Commits0003.csv,hpo,10000,5000,5,3.0,0.4,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
hpo__Health-Commits0004,Health-Commits0004,data/moot/optimize/hpo/Health-Commits0004.csv,hpo,10000,5000,5,3.0,0.4,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
hpo__Health-Commits0005,Health-Commits0005,data/moot/optimize/hpo/Health-Commits0005.csv,hpo,10000,5000,5,3.0,0.4,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
hpo__Health-Commits0006,Health-Commits0006,data/moot/optimize/hpo/Health-Commits0006.csv,hpo,10000,5000,5,3.0,0.4,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
hpo__Health-Commits0007,Health-Commits0007,data/moot/optimize/hpo/Health-Commits0007.csv,hpo,10000,5000,5,3.0,0.4,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
hpo__Health-Commits0008,Health-Commits0008,data/moot/optimize/hpo/Health-Commits0008.csv,hpo,10000,5000,5,3.0,0.4,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
hpo__Health-Commits0009,Health-Commits0009,data/moot/optimize/hpo/Health-Commits0009.csv,hpo,10000,5000,5,3.0,0.4,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
hpo__Health-Commits0010,Health-Commits0010,data/moot/optimize/hpo/Health-Commits0010.csv,hpo,10000,5000,5,3.0,0.4,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
hpo__Health-Commits0011,Health-Commits0011,data/moot/optimize/hpo/Health-Commits0011.csv,hpo,10000,5000,5,3.0,0.4,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
misc__Car_price_cleaned,Car_price_cleaned,data/moot/optimize/misc/Car_price_cleaned.csv,misc,205,205,38,2.0,0.9473684210526316,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
misc__Wine_quality,Wine_quality,data/moot/optimize/misc/Wine_quality.csv,misc,1599,1599,10,3.0,0.7,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
misc__auto93,auto93,data/moot/optimize/misc/auto93.csv,misc,398,398,4,1.0,0.75,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
process__coc1000,coc1000,data/moot/optimize/process/coc1000.csv,process,1000,1000,20,7.0,0.65,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
process__nasa93dem,nasa93dem,data/moot/optimize/process/nasa93dem.csv,process,93,93,22,3.0,0.8636363636363636,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
process__pom3a,pom3a,data/moot/optimize/process/pom3a.csv,process,20000,5000,9,5.0,0.4444444444444444,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
process__pom3b,pom3b,data/moot/optimize/process/pom3b.csv,process,20000,5000,9,5.0,0.4444444444444444,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
process__pom3c,pom3c,data/moot/optimize/process/pom3c.csv,process,20000,5000,9,5.0,0.4444444444444444,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
process__pom3d,pom3d,data/moot/optimize/process/pom3d.csv,process,500,500,9,5.0,0.4444444444444444,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
process__xomo_flight,xomo_flight,data/moot/optimize/process/xomo_flight.csv,process,10000,5000,24,9.0,0.625,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
process__xomo_ground,xomo_ground,data/moot/optimize/process/xomo_ground.csv,process,10000,5000,24,9.0,0.625,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
process__xomo_osp,xomo_osp,data/moot/optimize/process/xomo_osp.csv,process,10000,5000,24,9.0,0.625,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
process__xomo_osp2,xomo_osp2,data/moot/optimize/process/xomo_osp2.csv,process,10000,5000,24,8.0,0.6666666666666667,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
rl__A2C_Acrobot,A2C_Acrobot,data/moot/optimize/rl/A2C_Acrobot.csv,rl,223,223,10,4.0,0.6,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
rl__A2C_CartPole,A2C_CartPole,data/moot/optimize/rl/A2C_CartPole.csv,rl,317,317,7,4.0,0.4285714285714286,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
sales_data__Marketing_Analytics,Marketing_Analytics,data/moot/optimize/sales_data/Marketing_Analytics.csv,sales_data,2205,2205,31,2.0,0.935483870967742,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
sales_data__accessories,accessories,data/moot/optimize/sales_data/accessories.csv,sales_data,1121,1121,14,2.0,0.8571428571428572,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
sales_data__dress-up,dress-up,data/moot/optimize/sales_data/dress-up.csv,sales_data,913,913,20,3.0,0.85,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
sales_data__socks,socks,data/moot/optimize/sales_data/socks.csv,sales_data,350,350,20,15.0,0.25,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
sales_data__wallpaper,wallpaper,data/moot/optimize/sales_data/wallpaper.csv,sales_data,247,247,22,3.0,0.8636363636363636,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
systems__7z,7z,data/moot/optimize/systems/7z.csv,systems,68640,5000,14,3.0,0.7857142857142857,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
systems__BDBC,BDBC,data/moot/optimize/systems/BDBC.csv,systems,2560,2560,16,5.0,0.6875,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
systems__HSQLDB,HSQLDB,data/moot/optimize/systems/HSQLDB.csv,systems,864,864,18,4.0,0.7777777777777778,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
systems__LLVM,LLVM,data/moot/optimize/systems/LLVM.csv,systems,1024,1024,10,5.0,0.5,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
systems__PostgreSQL,PostgreSQL,data/moot/optimize/systems/PostgreSQL.csv,systems,19008,5000,9,2.0,0.7777777777777778,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
systems__dconvert,dconvert,data/moot/optimize/systems/dconvert.csv,systems,6764,5000,18,2.0,0.8888888888888888,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
systems__deeparch,deeparch,data/moot/optimize/systems/deeparch.csv,systems,4096,4096,12,6.0,0.5,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
systems__exastencils,exastencils,data/moot/optimize/systems/exastencils.csv,systems,86058,5000,12,2.0,0.8333333333333334,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
systems__javagc,javagc,data/moot/optimize/systems/javagc.csv,systems,166975,5000,35,2.0,0.9428571428571428,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
systems__redis,redis,data/moot/optimize/systems/redis.csv,systems,4400,4400,9,4.0,0.5555555555555556,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
systems__storm,storm,data/moot/optimize/systems/storm.csv,systems,1557,1557,12,6.0,0.5,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
systems__x264,x264,data/moot/optimize/systems/x264.csv,systems,53662,5000,17,3.0,0.8235294117647058,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
test__dataset120,dataset120,data/moot/optimize/test/dataset120.csv,test,4852,4852,9,1.0,0.8888888888888888,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
test__dataset600,dataset600,data/moot/optimize/test/dataset600.csv,test,4845,4845,9,1.0,0.8888888888888888,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
