group,task,rows,cols,x,y,ign,x+ign,x_num,x_sym
config,rs-6d-c3_obj2,3840,7,6,1,0,6,6,0
config,sol-6d-c2-obj1,2866,7,6,1,0,6,6,0
config,wc+rs-3d-c4-obj1,196,4,3,1,0,3,3,0
config,wc+sol-3d-c4-obj1,196,4,3,1,0,3,3,0
config,wc+wc-3d-c4-obj1,196,4,3,1,0,3,3,0
config,wc-6d-c1-obj1,2880,7,6,1,0,6,6,0
financial_data,BankChurners,10127,23,19,4,0,19,13,6
financial_data,Loan,20000,36,31,5,0,31,25,6
financial_data,WA_Fn-UseC_-Telco-Customer-Churn,7043,21,19,2,0,19,1,18
financial_data,home_data_for_ml_course,1460,81,77,4,0,77,31,46
health_data,Data_COVID19_Indonesia,21759,38,35,3,0,35,23,12
health_data,Life_Expectancy_Data,2938,22,20,2,0,20,18,2
health_data,Medical_Data_and_Hospital_Readmissions,25000,65,64,1,0,64,8,56
hpo,Health-ClosedIssues0000,10000,8,5,3,0,5,4,1
hpo,Health-ClosedIssues0001,10000,8,5,3,0,5,4,1
hpo,Health-ClosedIssues0002,10000,8,5,3,0,5,4,1
hpo,Health-ClosedIssues0003,10000,8,5,3,0,5,4,1
hpo,Health-ClosedIssues0004,10000,8,5,3,0,5,4,1
hpo,Health-ClosedIssues0005,10000,8,5,3,0,5,4,1
hpo,Health-ClosedIssues0006,10000,8,5,3,0,5,4,1
hpo,Health-ClosedIssues0007,10000,8,5,3,0,5,4,1
hpo,Health-ClosedIssues0008,10000,8,5,3,0,5,4,1
hpo,Health-ClosedIssues0009,10000,8,5,3,0,5,4,1
hpo,Health-ClosedIssues0010,10000,8,5,3,0,5,4,1
hpo,Health-ClosedIssues0011,10000,8,5,3,0,5,4,1
hpo,Health-ClosedPRs0000,10000,7,5,2,0,5,4,1
hpo,Health-ClosedPRs0002,10000,8,5,3,0,5,4,1
hpo,Health-ClosedPRs0003,10000,8,5,3,0,5,4,1
hpo,Health-ClosedPRs0004,10000,8,5,3,0,5,4,1
hpo,Health-ClosedPRs0005,10000,8,5,3,0,5,4,1
hpo,Health-ClosedPRs0006,10000,8,5,3,0,5,4,1
hpo,Health-ClosedPRs0007,10000,8,5,3,0,5,4,1
hpo,Health-ClosedPRs0008,10000,8,5,3,0,5,4,1
hpo,Health-ClosedPRs0009,10000,8,5,3,0,5,4,1
hpo,Health-ClosedPRs0010,10000,8,5,3,0,5,4,1
hpo,Health-ClosedPRs0011,10000,8,5,3,0,5,4,1
hpo,Health-Commits0000,10000,8,5,3,0,5,4,1
hpo,Health-Commits0001,10000,8,5,3,0,5,4,1
hpo,Health-Commits0002,10000,8,5,3,0,5,4,1
hpo,Health-Commits0003,10000,8,5,3,0,5,4,1
hpo,Health-Commits0004,10000,8,5,3,0,5,4,1
hpo,Health-Commits0005,10000,8,5,3,0,5,4,1
hpo,Health-Commits0006,10000,8,5,3,0,5,4,1
hpo,Health-Commits0007,10000,8,5,3,0,5,4,1
hpo,Health-Commits0008,10000,8,5,3,0,5,4,1
hpo,Health-Commits0009,10000,8,5,3,0,5,4,1
hpo,Health-Commits0010,10000,8,5,3,0,5,4,1
hpo,Health-Commits0011,10000,8,5,3,0,5,4,1
misc,Car_price_cleaned,205,43,38,5,0,38,37,1
misc,Wine_quality,1599,12,10,2,0,10,10,0
misc,auto93,398,8,4,3,1,5,3,1
process,coc1000,1000,25,20,5,0,20,20,0
process,nasa93dem,93,29,22,3,4,26,0,22
process,pom3a,20000,12,9,3,0,9,9,0
process,pom3b,20000,12,9,3,0,9,9,0
process,pom3c,20000,12,9,3,0,9,9,0
process,pom3d,500,12,9,3,0,9,9,0
process,xomo_flight,10000,31,24,4,3,27,24,0
process,xomo_ground,10000,31,24,4,3,27,24,0
process,xomo_osp,10000,31,24,4,3,27,24,0
process,xomo_osp2,10000,31,24,4,3,27,24,0
rl,A2C_Acrobot,223,14,10,3,1,11,10,0
rl,A2C_CartPole,317,13,7,4,2,9,7,0
sales_data,Marketing_Analytics,2205,39,31,8,0,31,31,0
sales_data,accessories,1121,16,14,2,0,14,1,13
sales_data,dress-up,913,22,20,2,0,20,0,20
sales_data,socks,350,21,20,1,0,20,20,0
sales_data,wallpaper,247,25,22,2,1,23,2,20
systems,7z,68640,15,14,1,0,14,3,11
systems,BDBC,2560,17,16,1,0,16,0,16
systems,HSQLDB,864,19,18,1,0,18,0,18
systems,LLVM,1024,11,10,1,0,10,0,10
systems,PostgreSQL,19008,10,9,1,0,9,3,6
systems,dconvert,6764,19,18,1,0,18,0,18
systems,deeparch,4096,13,12,1,0,12,0,12
systems,exastencils,86058,13,12,1,0,12,3,9
systems,javagc,166975,36,35,1,0,35,23,12
systems,redis,4400,10,9,1,0,9,8,1
systems,storm,1557,13,12,1,0,12,9,3
systems,x264,53662,18,17,1,0,17,13,4
test,dataset120,5160,10,9,1,0,9,9,0
test,dataset600,5160,10,9,1,0,9,9,0
