task_id,seq,changed,flipped
hpo__Health-ClosedPRs0009,smac/tie/smac,True,False
hpo__Health-ClosedPRs0010,smac/smac/smac,False,False
hpo__Health-ClosedPRs0011,tie/tie/tie,False,False
hpo__Health-Commits0000,tie/smac/smac,True,False
hpo__Health-Commits0001,smac/tie/tie,True,False
hpo__Health-Commits0002,tie/smac/smac,True,False
hpo__Health-Commits0003,tie/smac/smac,True,False
hpo__Health-Commits0004,tie/smac/tie,True,False
hpo__Health-Commits0005,tie/tie/ezr,True,False
hpo__Health-Commits0006,tie/tie/smac,True,False
hpo__Health-Commits0007,ezr/ezr/ezr,False,False
hpo__Health-Commits0008,tie/tie/smac,True,False
hpo__Health-Commits0009,ezr/ezr/tie,True,False
hpo__Health-Commits0010,tie/tie/smac,True,False
hpo__Health-Commits0011,tie/tie/tie,False,False
misc__Car_price_cleaned,ezr/ezr/ezr,False,False
misc__Wine_quality,ezr/ezr/ezr,False,False
misc__auto93,tie/tie/tie,False,False
process__coc1000,ezr/ezr/ezr,False,False
process__nasa93dem,smac/smac/smac,False,False
process__pom3a,ezr/ezr/ezr,False,False
process__pom3b,ezr/ezr/ezr,False,False
process__pom3c,ezr/ezr/ezr,False,False
process__pom3d,ezr/ezr/ezr,False,False
process__xomo_flight,tie/smac/smac,True,False
process__xomo_ground,tie/smac/smac,True,False
process__xomo_osp,tie/smac/smac,True,False
process__xomo_osp2,ezr/ezr/ezr,False,False
rl__A2C_Acrobot,tie/smac/smac,True,False
rl__A2C_CartPole,ezr/ezr/smac,True,True
sales_data__Marketing_Analytics,smac/smac/smac,False,False
sales_data__accessories,smac/smac/smac,False,False
sales_data__dress-up,smac/smac/smac,False,False
sales_data__socks,smac/tie/tie,True,False
systems__7z,tie/tie/tie,False,False
systems__BDBC,tie/tie/tie,False,False
systems__HSQLDB,tie/tie/tie,False,False
systems__LLVM,tie/tie/smac,True,False
systems__PostgreSQL,tie/tie/tie,False,False
systems__dconvert,tie/tie/smac,True,False
systems__deeparch,smac/tie/tie,True,False
systems__exastencils,smac/tie/smac,True,False
systems__javagc,tie/tie/tie,False,False
systems__redis,ezr/ezr/ezr,False,False
systems__storm,tie/tie/tie,False,False
systems__x264,ezr/ezr/ezr,False,False
test__dataset120,ezr/ezr/ezr,False,False
test__dataset600,ezr/ezr/ezr,False,False
